n_agents,instance,cbs_success,cbs_time,cbs_cost,cbs_ct_nodes,cbs_ll_calls
20,4,False,15.00072956085205,,17494,35008
20,5,True,7.744967460632324,282,7198,14414
20,6,False,15.001176834106445,,14376,28772
20,7,True,0.07201385498046875,265,41,100
20,8,False,15.000576496124268,,12401,24822
20,9,False,15.052215814590454,,13974,27968
20,10,False,15.000249862670898,,13030,26080
20,11,False,15.000543594360352,,18465,36950
20,12,False,15.000435590744019,,16791,33602
20,13,False,15.000702857971191,,16732,33484
20,14,False,15.00052523612976,,17027,34074
20,15,False,15.001252174377441,,12558,25136
20,16,False,15.000754356384277,,16937,33894
20,17,True,9.54447054862976,280,11053,22124
20,18,False,15.000131130218506,,22194,44408
20,19,False,15.000287055969238,,21730,43480
20,20,True,0.6475231647491455,289,996,2010
20,21,True,0.7182610034942627,330,637,1292
20,22,True,0.8830366134643555,291,536,1090
20,23,False,15.00232720375061,,6788,13596
20,24,False,15.000248193740845,,10535,21090
